CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1,Ativo Total,1276415000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01,Caixa e Equivalentes de Caixa,18544000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02,Aplicações Financeiras,644668000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,602483000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01,Títulos para Negociação,164311000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.02,Títulos Disponíveis para Venda,86045000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.03,Depósitos Compulsórios no Banco Central,66556000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.04,Aplicaçãoes em Depósitos interfinanceiros,30525000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.05,Aplicações no Mercado Aberto,254404000,NA,dfp_cia_aberta_BPA_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,NA,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.06,Ativos Financeiros Designados a Valor Justo através do Resultado,642000,NA,dfp_cia_aberta_BPA_con_2015.csv
