CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01,Receitas da Intermediação Financeira,129574000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01.01,Receita de Juros e Rendimentos,147789000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01.02,Resultado de Operações de Câmbio e Variação Cambial de Transações no Exterior,-6353000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01.03,Ganho (Perda) Líquido com Ativos e Passivos Financeiros,-11862000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.02,Despesas da Intermediação Financeira,-75064000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.02.01,Despesas de Juros e Rendimentos,-75064000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.03,Resultado Bruto Intermediação Financeira,54510000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04,Outras Despesas/Receitas Operacionais,-36245000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.01,Receitas de Prestação de Serviços,29452000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.02,Despesas de Pessoal,-19573000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.03,Outras Despesas Administrativas,-28053000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.04,Despesas Tributárias,-5405000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05,Outras Receitas Operacionais,8049000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.01,"Resultado de Operações de Seg., Prev., Cap. antes das Despesas com sinistros e de Comercialização",6672000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.02,Receita de Dividendos,98000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.03,Outras Receitas,1279000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.06,Outras Despesas Operacionais,-21335000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.06.01,Despesa de Provisão para Créditos de Liquidação Duvidosa,-24517000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.06.02,Recuperação de Créditos Baixados como Prejuízo,4779000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.06.03,Despesas com Sinistros,-1597000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.07,Resultado da Equivalência Patrimonial,620000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.05,Resultado Antes dos Tributos sobre o Lucro,18265000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,7891000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.06.01,Corrente,-8965000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.06.02,Diferido,16856000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.07,Resultado Líquido das Operações Continuadas,26156000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.08,Resultado Líquido das Operações Descontinuadas,0,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.09,Lucro/Prejuízo Consolidado do Período,26156000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.09.01,Atribuído a Sócios da Empresa Controladora,25740000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.09.02,Atribuído a Sócios Não Controladores,416000,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.99,Lucro por Ação - (R$ / Ação),0,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.99.01,Lucro Básico por Ação,0,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.99.01.01,ON,4.3,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.99.01.02,PN,4.3,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.99.02,Lucro Diluído por Ação,0,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.99.02.01,ON,4.28,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2015-12-31,2015-01-01,2015-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.99.02.02,PN,4.28,NA,dfp_cia_aberta_DRE_con_2015.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01,Receitas da Intermediação Financeira,174319000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01.01,Receita de Juros e Rendimentos,161495000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01.02,Resultado de Operações de Câmbio e Variação Cambial de Transações no Exterior,5513000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01.03,Ganho (Perda) Líquido com Ativos e Passivos Financeiros,7311000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.02,Despesas da Intermediação Financeira,-95126000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.02.01,Despesas de Juros e Rendimentos,-95126000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.03,Resultado Bruto Intermediação Financeira,79193000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04,Outras Despesas/Receitas Operacionais,-41001000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.01,Receitas de Prestação de Serviços,31918000,NA,dfp_cia_aberta_DRE_con_2016.csv
60.872.504/0001-23,19348,2016-12-31,2016-01-01,2016-12-31,ITAU UNIBANCO HOLDING S.A.,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.02,Despesas de Pessoal,-22360000,NA,dfp_cia_aberta_DRE_con_2016.csv
