CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1,Ativo Total,900135000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01,Ativo Circulante,169581000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.01,Caixa e Equivalentes de Caixa,97845000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02,Aplicações Financeiras,3047000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01.01,Títulos para Negociação,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01.02,Títulos Disponíveis para Venda,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.02.01,Títulos Mantidos até o Vencimento,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03,Contas a Receber,22659000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03.01,Clientes,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03.02,Outras Contas a Receber,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.04,Estoques,29057000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.05,Ativos Biológicos,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06,Tributos a Recuperar,10732000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06.01,Tributos Correntes a Recuperar,10732000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06.01.01,Imposto de renda e contribuição social correntes,3839000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06.01.02,Outros tributos a recuperar,6893000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.07,Despesas Antecipadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08,Outros Ativos Circulantes,6241000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.01,Ativos Não-Correntes a Venda,595000,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.02,Ativos de Operações Descontinuadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,NA,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.03,Outros,5646000,NA,dfp_cia_aberta_BPA_con_2015.csv
