CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.01,Receita de Venda de Bens e/ou Serviços,321638000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.02,Custo dos Bens e/ou Serviços Vendidos,-223062000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.03,Resultado Bruto,98576000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04,Despesas/Receitas Operacionais,-111764000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.01,Despesas com Vendas,-15893000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.02,Despesas Gerais e Administrativas,-11031000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.04,Outras Receitas Operacionais,0,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05,Outras Despesas Operacionais,-84043000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.01,Tributárias,-9238000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.02,Custo com Pesquisa e Desenvolvimento Tecnológico,-2024000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.03,Custo Exploratório para Extração de Petróleo e Gás,-6467000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.04,Participação nos Lucros ou Resultados,0,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.05,Outras Despesas/Receitas Operacionais Líquidas,-18638000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.06,Baixa de gastos adicionais capitalizados indevidamente,0,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.05.07,Reversão/Perdas no valor de recuperação de ativos - Impairment,-47676000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.04.06,Resultado de Equivalência Patrimonial,-797000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-13188000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.06,Resultado Financeiro,-28041000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.06.01,Receitas Financeiras,4867000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.06.01.01,Receitas Financeiras,4867000,NA,dfp_cia_aberta_DRE_con_2015.csv
33.000.167/0001-01,9512,2015-12-31,2015-01-01,2015-12-31,PETROLEO BRASILEIRO S.A. PETROBRAS,1,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,3.06.01.02,Variações Monetárias e Cambiais Líquidas,0,NA,dfp_cia_aberta_DRE_con_2015.csv
