CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1,Ativo Total,345549435,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01,Ativo Circulante,60417700,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.01,Caixa e Equivalentes de Caixa,14021704,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02,Aplicações Financeiras,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01.01,Títulos para Negociação,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01.02,Títulos Disponíveis para Venda,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.02.01,Títulos Mantidos até o Vencimento,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03,Contas a Receber,6036035,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03.01,Clientes,5763286,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03.02,Outras Contas a Receber,272749,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.04,Estoques,13774724,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.05,Ativos Biológicos,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06,Tributos a Recuperar,8995056,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06.01,Tributos Correntes a Recuperar,8995056,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.07,Despesas Antecipadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08,Outros Ativos Circulantes,17590181,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.01,Ativos Não-Correntes a Venda,15792385,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.02,Ativos de Operações Descontinuadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.03,Outros,1797796,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02,Ativo Não Circulante,285131735,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01,Ativo Realizável a Longo Prazo,41601648,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01.01,Títulos para Negociação,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01.02,Títulos Disponíveis para Venda,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.02.01,Títulos Mantidos até o Vencimento,0,NA,dfp_cia_aberta_BPA_con_2015.csv
