CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2,Passivo Total,345549435,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01,Passivo Circulante,41182018,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.01,Obrigações Sociais e Trabalhistas,1463767,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.01.01,Obrigações Sociais,1463767,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.01.02,Obrigações Trabalhistas,0,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.02,Fornecedores,13139911,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.02.01,Fornecedores Nacionais,0,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.02.02,Fornecedores Estrangeiros,0,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.03,Obrigações Fiscais,3268529,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.03.01,Obrigações Fiscais Federais,0,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.03.02,Obrigações Fiscais Estaduais,0,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.03.03,Obrigações Fiscais Municipais,0,NA,dfp_cia_aberta_BPP_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2.01.04,Empréstimos e Financiamentos,9788449,NA,dfp_cia_aberta_BPP_con_2015.csv
